"employee_id";"first_name";"last_name";"total_sales"
203;Michael;Chapman;415372.28
204;Jeffrey;Johnson;195135.02
205;Desiree;Oneal;409533.25
206;Benjamin;Werner;436678.0
207;Blake;Hubbard;193106.23
208;Robert;Johnson;442474.7
209;Patricia;Sparks;346291.2
210;Cory;Kelly;1098126.1
211;Charles;Phillips;317085.3
212;Monica;Miller;174519.75
213;Andrea;Merritt;501242.78
214;Kristin;Taylor;487771.34
215;Miranda;Bentley;165101.38
216;William;Cummings;609192.6
217;Kristin;Evans;486437.72
218;Christopher;Black;265889.66
219;Michael;Giles;179242.92
220;Gina;Stafford;768445.25
221;Walter;Rogers;865817.0
222;Stephanie;Ortiz;376529.22
223;Eric;Hill;611051.44
224;Daniel;Gilbert;528638.44
225;Christopher;Moore;535051.3
226;Cynthia;Reeves;442979.25
227;Brian;Lee;184203.1
228;Kimberly;Walton;816895.5
229;Devin;Gonzales;160762.4
230;Amanda;Serrano;556962.1
231;Michael;Ramirez;426155.28
232;Pamela;Schmitt;205214.84
233;Amy;Cook;747745.0
234;Michelle;Perry;381022.9
235;Tom;Murphy;504704.9
236;Hannah;Kennedy;479559.75
237;Robert;Lopez;300189.84
238;Elaine;Palmer;825283.56
239;Carrie;Johnson;325980.53
240;Shelley;Frazier;588206.2
241;Curtis;Watson;193725.61
242;Angela;Carter;384586.78
243;Mark;Lewis;346967.28
244;Steven;Frazier;407754.53
245;Carol;Rogers;764610.06
246;Caroline;Ryan;254264.5
247;David;Anderson;475932.25
248;Vanessa;Cooper;403972.72
249;Anthony;Soto;539431.9
250;Leslie;Cruz;295231.16
251;Carolyn;Bullock;214341.19
252;James;Bradley;174942.98
253;David;Friedman;467704.72
254;Jennifer;Johnson;310103.53
255;Robert;Curtis;187764.89
256;Lance;Sanders;394015.47
257;Jessica;Hernandez;421400.12
258;Shawn;Adams;362301.53
259;Robert;Rush;807150.3
260;Sarah;Hartman;222678.77
261;Briana;Patel;755358.7
262;Thomas;Molina;887391.0
263;Shawn;Rodriguez;255582.08
264;Mary;Mills;575904.8
265;David;Shaw;762317.94
266;Russell;Haley;350303.34
267;Ryan;Ramirez;632383.9
268;Kenneth;Weaver;390295.22
269;Lindsey;Cooper;338217.0
270;Leslie;Aguilar;125103.26
271;Helen;Wells;157042.05
272;Caitlin;Anderson;387747.9
273;Michelle;Johnson;279043.4
274;Robert;Dawson;788607.3
275;James;Foster;668866.94
276;Dwayne;Lopez;616057.1
277;Justin;Leach;343620.16
278;William;Carney;702718.44
279;Cynthia;Kim;332334.28
280;Gregory;Ballard;176726.53
281;Tammy;Deleon;414690.9
282;Daniel;Garza;453725.75
283;Paige;Blair;306111.84
284;Madison;Ramirez;920614.9
285;Alyssa;Hendricks;974910.56
286;James;Hampton;232804.02
287;Elizabeth;Bailey;197537.64
288;Alyssa;Wall;379456.6
289;Anna;Smith;581411.3
290;Ray;Allen;108294.64
291;Jennifer;White;674599.75
292;Justin;Howard;294237.8
293;Jeremy;Stephenson;424114.22
294;Tara;Brown;318825.78
295;Timothy;Reid;338987.78
296;Amy;Mcdonald;630005.25
297;Stephanie;Cox;1078057.2
298;Edward;Williams;1089354.0
299;Anthony;Diaz;495193.78
300;Julie;Bailey;451169.44
301;Jennifer;Ramirez;284613.56
302;Jon;Cardenas;280561.84
303;Lori;Young;181311.34
304;Connie;Waller;597786.5
305;Julie;Johnson;724808.56
306;Katrina;Walker;356668.66
307;Zachary;Liu;491485.12
308;Courtney;Williams;639607.06
309;Rose;Stephens;189122.72
310;Paul;Hayes;767556.4
311;Tina;Hammond;256948.4
312;Gerald;Mcdowell;321382.66
313;Ann;Perez;504042.3
314;Brandon;Ramirez;474866.25
315;Henry;Williams;84356.58
316;Jeffrey;Franklin;165577.08
317;Robert;Wood;366927.5
318;Alice;Spears;593549.94
319;Cody;Gonzalez;467157.06
320;Carla;Moore;510454.84
